2024-12-21T12:59:52-05:00|I am pleased to announce that Chad Mizelle will serve as Chief of Staff at the Department of Justice, where he will work with our wonderful Attorney General Nominee, Pam Bondi.\n \nDuring my First Term, Chad was General Counsel and Chief of Staff at the Department of Homeland Security, where he helped to secure our Border, and stop the flow of illegal drugs and aliens into our Country. Chad is a MAGA warrior, who will help bring accountability, integrity, and Justice back to the DOJ.\n \nCongratulations to Chad, his wife Kathryn, a GREAT Judge who I appointed, and their children!
2024-12-21T13:42:38-05:00|I am pleased to nominate Aaron Reitz to serve as the next Head of the Justice Department’s Office of Legal Policy (OLP). Aaron will lead OLP to develop and implement DOJ’s battle plans to advance my Law and Order Agenda, and restore integrity to our Justice System. He will be working with Attorney General Nominee, Pam Bondi.\n \nAaron is currently Senator Ted Cruz’s Chief of Staff, and was previously Texas Attorney General Ken Paxton’s Deputy, where he led dozens of successful lawsuits against the lawless and crooked Biden Administration.\n \nAaron is a true MAGA attorney, a warrior for our Constitution, and will do an outstanding job at DOJ. Congratulations Aaron!
2024-12-21T13:42:50-05:00|I am proud to announce that Highly Respected David Fink, a fifth generation Railroader, will be the next Administrator of the Federal Railroad Administration (FRA). David will bring his 45+ years of transportation leadership and success, which will deliver the FRA into a new era of safety and technological innovation. Under David’s guidance, the Federal Railroad Administration will be GREAT again. Congratulations to David!
2024-12-21T14:46:41-05:00|I am hearing that America First Patriot Joe Gruters, from the Great State of Florida, is considering running for Treasurer of the Republican National Committee!\n \nAn early and loyal supporter of MAGA, Joe was on the “Trump Train” before it even left the station! As State Senator and Chairman of the Republican Party of Florida, Joe helped us deliver massive and historic Victories across the State, including my three WINS in 2016, 2020, and 2024! As Treasurer, Joe would be a Fierce Advocate for our Great MAGA Movement, and would work tirelessly to ensure a highly functioning, fiscally responsible, and financially successful RNC.\n \nJoe Gruters would make an incredible RNC Treasurer, and has my Complete and Total Endorsement. RUN, JOE, RUN!
2024-12-21T15:26:45-05:00|It is my great honor to appoint Mark Burnett as the Special Envoy to the United Kingdom. With a distinguished career in television production and business, Mark brings a unique blend of diplomatic acumen and international recognition to this important role.\n \nMark is known for creating and producing some of the biggest shows in Television History, including "Survivor," "Shark Tank," "The Voice" and, most notably, "The Apprentice." He is the former Chairman of MGM, and has won 13 Emmy Awards!\n \nMark will work to enhance diplomatic relations, focusing on areas of mutual interest, including trade, investment opportunities, and cultural exchanges.\n \nCongratulations Mark!
2024-12-21T17:36:40-05:00|I am pleased to announce that Tilman J. Fertitta has been nominated to serve as the United States Ambassador to Italy.\n \nTilman is an accomplished businessman, who has founded and built one of our Country’s premier entertainment and real estate companies, employing approximately 50,000 Americans. Tilman has a long history of giving back to the community through numerous philanthropic initiatives, which include children’s charities, Law Enforcement, and the medical community. Additionally, Tilman is the longest serving Chairman of the Board of Regents for the University of Houston. He also owns the Houston Rockets Basketball Team.\n \nCongratulations to Tilman, and his remarkable family!
2024-12-21T18:16:22-05:00|….The United States has a vested interest in the secure, efficient, and reliable operation of the Panama Canal, and that was always understood. We would and will NEVER let it fall into the wrong hands! It was not given for the benefit of others, but merely as a token of cooperation with us and Panama. If the principles, both moral and legal, of this magnanimous gesture of giving are not followed, then we will demand that the Panama Canal be returned to us, in full, and without question. To the Officials of Panama, please be guided accordingly!
2024-12-21T18:16:31-05:00|The Panama Canal is considered a VITAL National Asset for the United States, due to its critical role to America’s Economy and National Security. A secure Panama Canal is crucial for U.S. Commerce, and rapid deployment of the Navy, from the Atlantic to the Pacific, and drastically cuts shipping times to U.S. ports. The United States is the Number One user of the Canal, with over 70 percent of all transits heading to, or from, U.S. ports. Considered one of the Wonders of the Modern World, the Panama Canal opened for business 110 years ago, and was built at HUGE cost to the United States in lives and treasure - 38,000 American men died from infected mosquitos in the jungles during construction. Teddy Roosevelt was President of the United States at the time of its building, and understood the strength of Naval Power and Trade. When President Jimmy Carter foolishly gave it away, for One Dollar, during his term in Office, it was solely for Panama to manage, not China, or anyone else. It was likewise not given for Panama to charge the United States, its Navy, and corporations, doing business within our Country, exorbitant prices and rates of passage. Our Navy and Commerce have been treated in a very unfair and injudicious way. The fees being charged by Panama are ridiculous, especially knowing the extraordinary generosity that has been bestowed to Panama by the U.S. This complete “rip-off” of our Country will immediately stop….
2024-12-22T09:18:26-05:00|Congratulations to Congressman Barry Loudermilk on the great work he has done in exposing the massive corruption of the J6 Unselect Committee of Political Thugs! Also, congratulations, and thank you, to Mark Levin for airing this travesty of Justice, one that has been so misrepresented by the Fake News Media. We need more Warriors like Barry and Mark to expose the massive corruption taking place in our Country!
2024-12-22T09:18:31-05:00|Liz Cheney has been exposed in the Interim Report, by Congress, of the J6 Unselect Committee as having done egregious and unthinkable acts of crime. At the same time, however, she helped the Democrats lose the Election by giving her support – She is so unpopular and disgusting, a real loser!
